Number,Sign,Key,Key&Num.,Item,Chinese Translated Item with Subject.
4,1,Trust,A1_01,Trust others.,我信任他人。
34,1,Trust,A1_02,Believe that others have good intentions.,我相信他人是心怀好意的。
64,1,Trust,A1_03,Trust what people say.,我信任別人说的话。
94,1,Trust,A1_04,Believe that people are basically moral.,我相信人从根本上来说都是遵守道德的。
124,1,Trust,A1_05,Believe in human goodness.,我相信人类是善良的。
154,1,Trust,A1_06,Think that all will be well.,我认为一切事情都会变好。
184,-1,Trust,A1_07,Distrust people.,我不信任他人。
214,-1,Trust,A1_08,Suspect hidden motives in others.,我怀疑他人另有所谋。
244,-1,Trust,A1_09,Am wary of others.,我对他人心存戒备。
274,-1,Trust,A1_10,Believe that people are essentially evil.,我相信人本质上是邪恶的。
9,1,Morality,A2_01,Would never cheat on my taxes.,我永远不会作弊。
39,1,Morality,A2_02,Stick to the rules.,我谨守规则。
99,-1,Morality,A2_03,Use others for my own ends.,我会利用他人达到自己的目的。
159,-1,Morality,A2_04,Cheat to get ahead.,我通过欺骗的方式来换取成功。
249,-1,Morality,A2_05,Take advantage of others.,我会利用他人。
279,-1,Morality,A2_06,Obstruct others' plans.,我会故意阻挠他人的计划。
69,-1,Morality,A2_07,Use flattery to get ahead.,我通过阿谀奉承来取得成功。
129,-1,Morality,A2_08,Know how to get around the rules.,我知道如何钻规则的空子。
189,-1,Morality,A2_09,Put people under pressure.,我会对他人施压。
219,-1,Morality,A2_10,Pretend to be concerned for others.,我会装出关心人的样子。
104,1,Altruism,A3_01,Am concerned about others.,我会关心、挂念他人。
74,1,Altruism,A3_02,Love to help others.,我热爱帮助他人。
14,1,Altruism,A3_03,Make people feel welcome.,我总是让他人感到舒适和温暖。
44,1,Altruism,A3_04,Anticipate the needs of others.,我会为他人的需要着想。
134,1,Altruism,A3_05,Have a good word for everyone.,我会为每个人说好话。
194,-1,Altruism,A3_06,Am indifferent to the feelings of others.,我不关心别人的感受。
284,-1,Altruism,A3_07,Take no time for others.,我不愿意为别人的事情花时间。
164,-1,Altruism,A3_08,Look down on others.,我看不起别人。
224,-1,Altruism,A3_09,Make people feel uncomfortable.,我会让别人感到不自在。
254,-1,Altruism,A3_10,Turn my back on others.,我对他人置之不理、漠不关心。
19,1,Cooperation,A4_01,Am easy to satisfy.,我容易感到满意。
49,1,Cooperation,A4_02,Can't stand confrontations.,冲突和对抗使我无法忍受。
79,1,Cooperation,A4_03,Hate to seem pushy.,我讨厌被认为是咄咄逼人的。
169,-1,Cooperation,A4_04,Love a good fight.,我会喜欢一场精彩的争斗。
199,-1,Cooperation,A4_05,Yell at people.,我常对人大喊大叫。
229,-1,Cooperation,A4_06,Insult people.,我会侮辱别人。
259,-1,Cooperation,A4_07,Get back at others.,我会报复他人。
109,-1,Cooperation,A4_08,Have a sharp tongue.,我说话是尖锐的。
139,-1,Cooperation,A4_09,Contradict others.,我常常反驳他人。
289,-1,Cooperation,A4_10,Hold a grudge.,我总是心怀怨恨。
24,1,Modesty,A5_01,Dislike being the center of attention.,我不喜欢成为关注的焦点。
54,1,Modesty,A5_02,Dislike talking about myself.,我不喜欢谈论自己
84,1,Modesty,A5_03,Consider myself an average person.,我认为自己是一个非常普通的人。
114,1,Modesty,A5_04,Seldom toot my own horn.,我很少炫耀自己的成就。
144,-1,Modesty,A5_05,Believe that I am better than others.,我相信自己要比别人出色。
174,-1,Modesty,A5_06,Think highly of myself.,我对自己的评价很高。
204,-1,Modesty,A5_07,Have a high opinion of myself.,我对自己有很高的评价。
264,-1,Modesty,A5_08,Boast about my virtues.,我会夸耀自己的长处。
234,-1,Modesty,A5_09,Know the answers to many questions.,我知道许多事情的解决方法和答案。
294,-1,Modesty,A5_10,Make myself the center of attention.,我会让自己成为注意的焦点。
29,1,Sympathy,A6_01,Sympathize with the homeless.,我同情无家可归的人。
59,1,Sympathy,A6_02,Feel sympathy for those who are worse off than myself.,我对处境比自己糟糕的人感到同情。
89,1,Sympathy,A6_03,Value cooperation over competition.,相比竞争，我更珍视合作。
119,1,Sympathy,A6_04,Suffer from others' sorrows.,我能从别人的痛苦中感受到痛苦。
149,-1,Sympathy,A6_05,Am not interested in other people's problems.,我不关心别人的困难。
239,-1,Sympathy,A6_06,Try not to think about the needy.,我不关心穷苦的人。
179,-1,Sympathy,A6_07,Tend to dislike soft_hearted people.,我倾向于讨厌心肠柔软的人。
209,-1,Sympathy,A6_08,Believe in an eye for an eye.,我相信“以牙还牙、以眼还眼”。
269,-1,Sympathy,A6_09,Believe people should fend for themselves.,我相信人们应该自谋生路。
299,-1,Sympathy,A6_10,Can't stand weak people.,我不能忍受软弱的人。
5,1,Self-Efficacy,C1_01,Complete tasks successfully.,我总是成功的完成任务。
35,1,Self-Efficacy,C1_02,Excel in what I do.,我很擅长自己的工作。
65,1,Self-Efficacy,C1_03,Handle tasks smoothly.,我能顺利的处理我的工作或任务。
155,1,Self-Efficacy,C1_04,Know how to get things done.,我知道如何把事情做好。
95,1,Self-Efficacy,C1_05,Am sure of my ground.,我对自己的能力有信心。
125,1,Self-Efficacy,C1_06,Come up with good solutions.,我能想出好的解决方案。
185,-1,Self-Efficacy,C1_07,Misjudge situations.,我总是错误判断情势。
215,-1,Self-Efficacy,C1_08,Don't understand things.,我对事物理解的很慢。
245,-1,Self-Efficacy,C1_09,Have little to contribute.,我没做出过什么有用的事。
275,-1,Self-Efficacy,C1_10,Don't see the consequences of things.,我无法判断事情的结果。
40,1,Orderliness,C2_01,Like to tidy up.,我喜欢把东西整理的井井有条。
10,1,Orderliness,C2_02,Like order.,我喜欢秩序和条理。
70,1,Orderliness,C2_03,"Want everything to be ""just right.""",我希望一切都“恰到好处”。
100,1,Orderliness,C2_04,Love order and regularity.,我喜欢条理和规律。
130,1,Orderliness,C2_05,Do things according to a plan.,我会按计划做事情。
160,-1,Orderliness,C2_06,Often forget to put things back in their proper place.,我会忘记把东西放回合适的位置。
190,-1,Orderliness,C2_07,Leave a mess in my room.,我会把我的房间搞的一团乱。
220,-1,Orderliness,C2_08,Leave my belongings around.,我把我的东西乱放。
250,-1,Orderliness,C2_09,Am not bothered by messy people.,我并不觉得和那些邋遢混乱的人在一起不舒服。
280,-1,Orderliness,C2_10,Am not bothered by disorder.,我认为乱七八糟也无所谓。
45,1,Dutifulness,C3_01,Keep my promises.,我信守自己的承诺。
105,1,Dutifulness,C3_02,Tell the truth.,我总是说真话。
15,1,Dutifulness,C3_03,Try to follow the rules.,我努力遵守规则。
75,1,Dutifulness,C3_04,Pay my bills on time.,我按时付帐或还款。
135,1,Dutifulness,C3_05,Listen to my conscience.,我听从我的良知。
165,-1,Dutifulness,C3_06,Break rules.,我总是破坏规则。
195,-1,Dutifulness,C3_07,Break my promises.,我违背我的诺言。
225,-1,Dutifulness,C3_08,Get others to do my duties.,我会让别人来做本是我份内的事。
255,-1,Dutifulness,C3_09,Do the opposite of what is asked.,我会做一些与要求相违背的事。
285,-1,Dutifulness,C3_10,Misrepresent the facts.,我会歪曲事实。
140,1,Achievement-Striving,C4_01,Do more than what's expected of me.,我会超额完成任务。
50,1,Achievement-Striving,C4_02,Work hard.,我努力工作、认真学习。
20,1,Achievement-Striving,C4_03,Go straight for the goal.,我做事总是直奔目标而去。
80,1,Achievement-Striving,C4_04,Turn plans into actions.,我会把计划变成行动。
110,1,Achievement-Striving,C4_05,Plunge into tasks with all my heart.,我总是全心全意的投入到工作或学习中去。
170,1,Achievement-Striving,C4_06,Set high standards for myself and others.,我为自己和他人设立高标准。
200,1,Achievement-Striving,C4_07,Demand quality.,我对任务完成的质量有要求。
290,-1,Achievement-Striving,C4_08,Put little time and effort into my work.,我只投入很少时间和精力在工作或学习中。
260,-1,Achievement-Striving,C4_09,Do just enough work to get by.,做些能应付的事对我来说就已经足够了。
230,-1,Achievement-Striving,C4_10,Am not highly motivated to succeed.,我对成功没有强烈的动机。
55,1,Self-Discipline,C5_01,Am always prepared.,我总是时刻为事情做好准备。
145,1,Self-Discipline,C5_02,Carry out my plans.,我能够执行我的计画。
25,1,Self-Discipline,C5_03,Get chores done right away.,我总是能很快的做完家务。
85,1,Self-Discipline,C5_04,Start tasks right away.,我能够立刻开始完成任务。
115,1,Self-Discipline,C5_05,Get to work at once.,我能够马上开始干活。
205,-1,Self-Discipline,C5_06,Waste my time.,我经常浪费时间。
265,-1,Self-Discipline,C5_07,Have difficulty starting tasks.,我很难开始去做事。
175,-1,Self-Discipline,C5_08,Find it difficult to get down to work.,我发现我难以静下心来干活。
235,-1,Self-Discipline,C5_09,Need a push to get started.,我需要有人催促才能够开始。
295,-1,Self-Discipline,C5_10,Postpone decisions.,在需要做决定时，我总是拖延。
30,1,Cautiousness,C6_01,Avoid mistakes.,我总是小心谨慎，避免犯错。
60,1,Cautiousness,C6_02,Choose my words with care.,我谨慎的决定该说些什么。
90,1,Cautiousness,C6_03,Stick to my chosen path.,我坚持走我选择的道路。
120,-1,Cautiousness,C6_04,Jump into things without thinking.,我会不经思考的做一些事情。
150,-1,Cautiousness,C6_05,Make rash decisions.,我总草率的做决定。
210,-1,Cautiousness,C6_06,Rush into things.,我总是仓促行事。
270,-1,Cautiousness,C6_07,Act without thinking.,我会不加思考的行动。
180,-1,Cautiousness,C6_08,Like to act on a whim.,我喜欢随心所欲的行动。
240,-1,Cautiousness,C6_09,Do crazy things.,我会做一些疯狂的事。
300,-1,Cautiousness,C6_10,Often make last_minute plans.,我总是把事情拖到最后一分钟。
2,1,Friendliness,E1_01,Make friends easily.,我很容易交到朋友。
62,1,Friendliness,E1_02,Feel comfortable around people.,在人群周围，我感到舒适。
32,1,Friendliness,E1_03,Warm up quickly to others.,我能够快速的与他人熟络起来。
92,1,Friendliness,E1_04,Act comfortably with others.,我与他人相处随和。
